,,,,,,,
1 - isobutyl,hydrophobic,alifatic,Small,Neutral,NULL  ,NULL,NULL
2 - L-glucose,hydrophilic,NULL,Large,Negative,NULL,NULL,NULL
3 - aniline~,hydrophobic,aromatic,Large,Positive,NULL,NULL,NULL
4 - benzenol,hydrophilic,aromatic,Large,Negative,NULL,NULL,alcohol
5 - cyclohexane,hydrophobic,alifatic,Large,Neutral,NULL,NULL,NULL
6 - ethylamine~,hydrophilic,alifatic,Small,Positive,NULL,NULL,NULL
7 - n - propyl~,hydrophobic,alifatic,Small,Neutral,NULL,NULL,NULL
8 - ethanol~,hydrophilic,alifatic,Small,Negative,NULL,NULL,alcohol
9 - phenyl~,hydrophobic,aromatic,Large,Neutral,NULL,NULL,NULL
10 - flourobenzyl,hydrophobic,aromatic,Large,Neutral,Fluore,NULL,NULL
11 - morpholine,hydrophilic,alifatic,Large,Neutral,NULL,heterocyclic,NULL
12 - ethanol,hydrophilic,alifatic,Small,Negative,NULL,NULL,alcohol
13 - butan-2-ol~~,hydrophilic,alcohol,Small,Negative,NULL,NULL,NULL
14 - valin-similar~,hyrophobe,alifatic,Large,Neutral,NULL,NULL,NULL
15 - 2-pyrrolidinecarboxaldehyde~,hydrophobic,aromatic,Large,Neutral,NULL,NULL,NULL
16 - n - propyl,hydrophobic,alifatic,Small,Neutral,NULL,NULL,NULL
17 - 2-aminopropanal,hydrophilic,alifatic,Small,Neutral,NULL,NULL,NULL
18 - phenylmethanol,hydrophobic,aromatic,Large,Negative,NULL,NULL,alcohol
19 - chlorobenzene,hydrophobic,alifatic,Large,Neutral,Chlorine,NULL,NULL
20 - pyrimidine~,hydrophobic,aromatic,Large,Neutral,NULL,heterocylic,NULL
