grupa;CA;CAF;CAS;CD;CO;CS;CSD;CU;DAL;FE;FE2;GA;HG;K;MG;MN;MSE;NA;NI;SEP;SR;TPO;ZN
1;1;0.0;0.0;0.0;10;0.0;0.0;0.0;0.0;12;0.0;0.0;0.0;0.0;11;16;0.0;0.0;5;0.0;0.0;0.0;266
2;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;2;0.0;0.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;11
4;0.0;0.0;0.0;2;0.0;0.0;0.0;6;0.0;12;0.0;0.0;0.0;0.0;19;9;0.0;0.0;1;0.0;0.0;0.0;9
5;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;48;0.0;0.0;6;26;0.0;14;19;33;23;9;0.0;0.0;0.0;34;52;0.0;4;46;0.0;0.0;0.0;673
7;516;0.0;0.0;8;82;0.0;6;8;8;44;12;0.0;0.0;0.0;110;216;0.0;57;62;0.0;0.0;0.0;1006
8;92;0.0;0.0;0.0;0.0;0.0;0.0;2;0.0;1;0.0;0.0;0.0;0.0;19;11;0.0;20;3;0.0;0.0;0.0;48
9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8
10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6
11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;1;0.0;0.0;0.0;0.0;0.0;0.0;29
13;701;0.0;0.0;4;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;117;132;0.0;62;12;0.0;0.0;0.0;181
14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;34
15;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
16;304;0.0;0.0;9;93;0.0;6;15;6;50;12;0.0;0.0;0.0;106;190;0.0;33;54;0.0;0.0;0.0;1027
17;13;0.0;0.0;3;1;0.0;4;3;5;4;2;0.0;0.0;0.0;2;0.0;1;0.0;2;0.0;0.0;0.0;146
18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;1;2;0.0;0.0;0.0;0.0;0.0;0.0;8
19;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;3;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
20;0.0;0.0;0.0;0.0;12;0.0;0.0;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
