grupa;CA;CAF;CAS;CD;CO;CS;CSD;CU;DAL;FE;FE2;GA;HG;K;MG;MN;MSE;NA;NI;SEP;SR;TPO;ZN
1;0.0;0.0;0.0;0.0;240.6666666663868;0.0;0.0;0.0;0.0;794.1999999980145;0.0;0.0;0.0;0.0;103.14285714281205;133.7037037036674;0.0;0.0;412.5714285712482;0.0;0.0;0.0;489.33503836352924
2;46.702702702692605;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.19999999999424;0.0;0.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;198.99999999963185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.919999999989557
4;0.0;0.0;0.0;70.37500000022344;0.0;0.0;0.0;703.7500000002534;0.0;325.94736842136314;0.0;0.0;0.0;0.0;99.35294117626508;225.20000000008108;0.0;0.0;0.0;0.0;0.0;0.0;15.372013651883847
5;26.09999999991648;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4800000000009743;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;382.00913242061466;0.0;0.0;423.80952380912015;695.312499999522;0.0;4628.0000000081445;5340.000000006229;14239.999999974367;2303.5294117653834;1582.2222222225034;0.0;0.0;0.0;245.77405857804342;512.881355932157;0.0;70.26315789470911;2355.882352941869;0.0;0.0;0.0;1340.9865470841794
7;4127.383512554507;0.0;0.0;711.4545454546347;3417.2830188681564;0.0;2235.99999999619;5217.333333332221;3913.0000000064565;3561.0370370244814;2732.8888888883057;0.0;0.0;0.0;471.4197292062375;2045.7021276617334;0.0;1361.0434782614614;3686.3783783761064;0.0;0.0;0.0;2432.012987011997
8;666.890510948574;0.0;0.0;0.0;0.0;0.0;0.0;250.99999999999497;0.0;0.0;0.0;0.0;0.0;0.0;48.711590296442914;102.44897959182421;0.0;405.8723404253937;167.33333333277;0.0;0.0;0.0;161.05119453908864
9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.257261410796215
10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.71830985915849
11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.155172413812256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.13467048719515
13;3955.284552849709;0.0;0.0;2085.0000000047958;810.8333333333198;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;287.928571428376;1152.468354432422;0.0;1115.6578947369596;955.6250000005376;0.0;0.0;0.0;874.8251748271019
14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.13043478264163
15;22.36842105260215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.903846153848983
16;2524.296167244185;0.0;0.0;869.4545454549869;3792.6206896595145;0.0;2390.9999999944575;4781.999999998716;2988.749999996645;4039.9655172460043;2630.1000000001914;0.0;0.0;0.0;441.99823943683066;1867.351239678303;0.0;813.9574468089428;3424.945945943761;0.0;0.0;0.0;2455.621621621231
17;86.86725663713892;0.0;0.0;90.88888888868287;0.0;0.0;613.5000000002822;545.3333333335842;818.0000000003762;204.49999999953647;409.0000000001881;0.0;0.0;0.0;20.974358974355425;0.0;0.0;0.0;68.16666666651216;0.0;0.0;0.0;265.9417040356944
18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;11.666666666666668
19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.33333333332345;42.33333333332345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;0.0;0.0;0.0;0.0;145.06249999991567;0.0;0.0;316.50000000006645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.20000000000886;0.0;0.0;0.0;0.0;0.0;0.0;0.0
