grupa;CA;CAF;CAS;CD;CO;CS;CSD;CU;DAL;FE;FE2;GA;HG;K;MG;MN;MSE;NA;NI;SEP;SR;TPO;ZN
1;5;0.0;0.0;0.0;51;0.0;33;0.0;1;48;0.0;0.0;2;0.0;106;114;51;11;30;0.0;0.0;0.0;856
2;25;0.0;0.0;0.0;0.0;0.0;0.0;3;0.0;0.0;0.0;0.0;0.0;0.0;3;2;0.0;4;1;1;0.0;0.0;1
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;0.0;0.0;0.0;0.0;0.0;0.0;1;7;2;0.0;0.0;0.0;0.0;0.0;66
4;1;0.0;0.0;2;2;0.0;2;6;12;15;2;0.0;0.0;0.0;20;10;3;2;3;0.0;0.0;0.0;96
5;12;0.0;0.0;0.0;4;0.0;0.0;0.0;0.0;12;0.0;0.0;0.0;0.0;26;5;3;0.0;0.0;0.0;0.0;0.0;16
6;196;0.0;0.0;38;76;0.0;99;25;58;74;9;0.0;1;0.0;384;197;134;60;76;0.0;0.0;4;2264
7;1241;0.0;0.0;30;195;0.0;67;41;14;145;19;0.0;1;6;1143;885;199;312;136;12;0.0;7;3084
8;551;0.0;0.0;1;0.0;0.0;0.0;21;0.0;16;0.0;0.0;0.0;2;626;232;26;139;21;5;0.0;0.0;320
9;0.0;0.0;0.0;0.0;1;0.0;0.0;0.0;6;0.0;2;0.0;0.0;0.0;2;0.0;0.0;3;1;0.0;0.0;0.0;79
10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;0.0;5;6;0.0;0.0;2;0.0;0.0;0.0;49
11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2
12;344;0.0;0.0;0.0;0.0;0.0;0.0;10;0.0;4;1;0.0;0.0;2;346;145;14;81;13;2;0.0;0.0;231
13;810;0.0;0.0;8;8;0.0;0.0;29;0.0;68;0.0;0.0;0.0;2;677;327;31;196;24;14;0.0;0.0;419
14;0.0;0.0;0.0;0.0;1;0.0;9;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;3;5;1;0.0;0.0;0.0;0.0;41
15;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;1;0.0;0.0;0.0;0.0;0.0;31
16;1128;0.0;0.0;36;238;0.0;93;42;19;141;23;0.0;2;5;1053;844;251;271;150;9;0.0;8;3725
17;16;0.0;0.0;11;12;0.0;16;3;6;13;2;0.0;0.0;0.0;14;13;28;8;4;0.0;0.0;0.0;407
18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;0.0;0.0;0.0;0.0;3;2;0.0;0.0;0.0;0.0;0.0;0.0;21
19;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;1;5;3;0.0;0.0;0.0;2;8;0.0;1;0.0;0.0;0.0;0.0;21
20;0.0;0.0;0.0;0.0;14;0.0;0.0;4;0.0;3;0.0;0.0;0.0;0.0;6;14;0.0;0.0;0.0;0.0;0.0;0.0;0.0
