grupa;CA;CAF;CAS;CD;CO;CS;CSD;CU;DAL;FE;FE2;GA;HG;K;MG;MN;MSE;NA;NI;SEP;SR;TPO;ZN
1;41.494252873717755;0.0;0.0;0.0;1363.777777776192;0.0;23825.999999940435;0.0;361.0000000004007;3465.5999999913356;0.0;0.0;722.0000000008014;0.0;1093.3142857138077;1016.1481481478722;0.0;273.8620689658553;3094.2857142843613;0.0;0.0;0.0;1580.6445012799284
2;48.64864864863813;0.0;0.0;0.0;0.0;0.0;0.0;107.99999999991358;0.0;0.0;0.0;0.0;0.0;0.0;24.0;47.9999999999616;0.0;28.79999999997696;12.000000000004801;0.0;0.0;0.0;14.400000000009216
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;298.49999999944777;0.0;0.0;0.0;0.0;0.0;0.0;6.030303030290056;99.49999999995734;0.0;0.0;0.0;0.0;0.0;0.0;105.07199999993107
4;8.159420289879314;0.0;0.0;140.75000000044687;187.66666666638204;0.0;563.0000000002027;844.500000000304;1689.000000000608;444.4736842109497;563.0000000002027;0.0;0.0;0.0;110.39215686251674;281.50000000010135;1689.000000000608;70.37499999997581;140.74999999978652;0.0;0.0;0.0;184.46416382260617
5;104.39999999966592;0.0;0.0;0.0;86.99999999991083;0.0;0.0;0.0;0.0;260.9999999997325;0.0;0.0;0.0;0.0;90.48000000002533;87.00000000002436;0.0;0.0;0.0;0.0;0.0;0.0;51.555555555589926
6;1593.0593607327762;0.0;0.0;3220.952380949313;2113.7499999985466;0.0;35244.00000006203;7416.666666675319;25809.99999995354;7748.235294119926;1780.0000000003163;0.0;1779.9999999999645;0.0;2859.916317999051;1981.1299435026458;119259.99999978532;1405.263157894182;3978.823529412935;0.0;0.0;2373.3333333290616;4517.847533628842
7;9945.792114718726;0.0;0.0;3049.0909090912915;8226.792452830747;0.0;29962.399999948946;30558.666666660152;7826.000000012913;12008.148148105809;4720.444444443437;0.0;1118.0000000005948;958.2857142849996;4943.419729199352;8420.680851072715;222482.00000011837;7582.956521742427;8218.810810805746;26832.000000014275;0.0;5217.333333332221;7463.01298700995
8;4037.985401457849;0.0;0.0;501.99999999998994;0.0;0.0;0.0;5270.9999999998945;0.0;1606.3999999999678;0.0;0.0;0.0;286.85714285734286;1694.080862531848;2376.8163265303215;0.0;2969.27659574367;1756.9999999940849;0.0;0.0;0.0;1096.5187713299651
9;0.0;0.0;0.0;0.0;105.50000000002215;0.0;0.0;0.0;633.0000000001329;0.0;422.0000000000886;0.0;0.0;0.0;11.105263157885968;0.0;0.0;115.0909090909112;52.74999999989978;0.0;0.0;0.0;138.3319502075573
10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;138.00000000008004;0.0;0.0;0.0;19.166666666695416;51.74999999978006;0.0;0.0;91.9999999999264;0.0;0.0;0.0;95.23943661975319
11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.857142857146714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3749999999976796
12;2654.0555555582096;0.0;0.0;0.0;0.0;0.0;0.0;2777.500000002778;0.0;444.39999999995064;277.7500000002778;0.0;0.0;317.42857142838506;946.8128078827201;1627.2222222220232;0.0;1914.7021276614892;1203.5833333345367;0.0;0.0;0.0;735.36103151936
13;4576.829268297521;0.0;0.0;5560.000000012788;926.6666666666513;0.0;0.0;6718.333333333222;0.0;9451.999999995462;0.0;0.0;0.0;277.99999999986653;1680.410714284574;2876.7721519038323;0.0;3584.736842105641;2085.000000001173;0.0;0.0;0.0;2036.3986014030872
14;0.0;0.0;0.0;0.0;66.000000000066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;131.99999999995777;0.0;0.0;20.84210526321494;0.0;14.666666666670578;0.0;0.0;0.0;0.0;78.43478260873657
15;26.84210526312258;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.666666666600555;84.99999999965999;0.0;0.0;0.0;0.0;0.0;50.67307692310616
16;9397.379790928848;0.0;0.0;3912.5454545474413;9811.344827597439;0.0;44472.599999896906;14345.99999999615;11357.24999998725;11625.206896565032;5499.3000000004;0.0;2391.0000000001746;853.9285714283421;4432.610915495073;8338.859504171893;300070.5000000219;6893.202127663234;9693.24324323706;21519.00000000157;0.0;6376.000000005548;8915.390390388971
17;115.82300884951857;0.0;0.0;499.8888888877558;490.80000000022574;0.0;3272.0000000015048;818.0000000003763;1227.0000000005643;886.166666664658;818.0000000003762;0.0;0.0;0.0;293.64102564097595;103.24271844631326;11452.000000005266;176.86486486498532;272.6666666660486;0.0;0.0;0.0;746.4708520174319
18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;16.666666666666664;50.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0
19;0.0;0.0;0.0;63.49999999985077;0.0;0.0;0.0;0.0;127.00000000002412;105.83333333330863;126.99999999997036;0.0;0.0;0.0;28.222222222215635;44.17391304341104;0.0;12.700000000002413;0.0;0.0;0.0;0.0;50.32075471694126
20;0.0;0.0;0.0;0.0;184.62499999989268;0.0;0.0;422.0000000000886;0.0;316.50000000006645;0.0;0.0;0.0;0.0;14.386363636377695;147.70000000003103;0.0;0.0;0.0;0.0;0.0;0.0;0.0
